ClaudeCode Rankings 2025 SF
Overall,Bye Week,Tags,Expert Notes,,QB,Bye Week,Tags,Expert Notes,,RB,Bye Week,Tags,Expert Notes,,WR,Bye Week,Tags,Expert Notes,,TE,Bye Week,Tags,Expert Notes,,
Josh Allen (QB - BUF),7,,,,Josh Allen - BUF,7,,,,Bijan Robinson - ATL,5,,,,Ja'Marr Chase - CIN,10,,,,Brock Bowers - LV,8,,,,
Lamar Jackson (QB - BAL),7,,,,Lamar Jackson - BAL,7,,,,Jahmyr Gibbs - DET,8,,,,Justin Jefferson - MIN,6,,,,Trey McBride - ARI,8,,,,
Jayden Daniels (QB - WAS),12,,,,Jayden Daniels - WAS,12,,,,Saquon Barkley - PHI,9,,,,CeeDee Lamb - DAL,10,,,,Sam LaPorta - DET,8,,,,
Joe Burrow (QB - CIN),10,,,,Joe Burrow - CIN,10,,,,Ashton Jeanty - LV,8,,,,Malik Nabers - NYG,14,,,,George Kittle - SF,14,,,,
Jalen Hurts (QB - PHI),9,,,,Jalen Hurts - PHI,9,,,,De'Von Achane - MIA,12,,,,Amon-Ra St. Brown - DET,8,,,,T.J. Hockenson - MIN,6,,,,
Ja'Marr Chase (WR - CIN),10,,,,Patrick Mahomes II - KC,10,,,,Jonathan Taylor - IND,11,,,,Puka Nacua - LAR,8,,,,Colston Loveland - CHI,5,,,,
Patrick Mahomes II (QB - KC),10,,,,Justin Herbert - LAC,12,,,,Breece Hall - NYJ,9,,,,Brian Thomas Jr. - JAC,8,,,,Tyler Warren - IND,11,,,,
Justin Herbert (QB - LAC),12,,,,C.J. Stroud - HOU,6,,,,Omarion Hampton - LAC,12,,,,Nico Collins - HOU,6,,,,Mark Andrews - BAL,7,,,,
Justin Jefferson (WR - MIN),6,,,,Caleb Williams - CHI,5,,,,Bucky Irving - TB,9,,,,Drake London - ATL,5,,,,David Njoku - CLE,9,,,,
CeeDee Lamb (WR - DAL),10,,,,Bo Nix - DEN,12,,,,James Cook - BUF,7,,,,A.J. Brown - PHI,9,,,,Tucker Kraft - GB,5,,,,
C.J. Stroud (QB - HOU),6,,,,Drake Maye - NE,14,,,,Kyren Williams - LAR,8,,,,Ladd McConkey - LAC,12,,,,Dalton Kincaid - BUF,7,,,,
Malik Nabers (WR - NYG),14,,,,Jordan Love - GB,5,,,,Josh Jacobs - GB,5,,,,Garrett Wilson - NYJ,9,,,,Evan Engram - DEN,12,,,,
Amon-Ra St. Brown (WR - DET),8,,,,Kyler Murray - ARI,8,,,,Chase Brown - CIN,10,,,,Jaxon Smith-Njigba - SEA,8,,,,Kyle Pitts - ATL,5,,,,
Caleb Williams (QB - CHI),5,,,,Baker Mayfield - TB,9,,,,Kenneth Walker III - SEA,8,,,,Marvin Harrison Jr. - ARI,8,,,,Jonnu Smith - MIA,12,,,,
Bijan Robinson (RB - ATL),5,,,,Brock Purdy - SF,14,,,,TreVeyon Henderson - NE,14,,,,Tee Higgins - CIN,10,,,,Travis Kelce - KC,10,,,,
Jahmyr Gibbs (RB - DET),8,,,,Trevor Lawrence - JAC,8,,,,Christian McCaffrey - SF,14,,,,Travis Hunter - JAC,8,,,,Dallas Goedert - PHI,9,,,,
Saquon Barkley (RB - PHI),9,,,,Jared Goff - DET,8,,,,Derrick Henry - BAL,7,,,,Rashee Rice - KC,10,,,,Isaiah Likely - BAL,7,,,,
Bo Nix (QB - DEN),12,,,,J.J. McCarthy - MIN,6,,,,Quinshon Judkins - CLE,9,,,,DeVonta Smith - PHI,9,,,,Pat Freiermuth - PIT,5,,,,
